"filename", "language", "JavaScript", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\match.css", "CSS", 0, 20, 0, 0, 0, 3, 23
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\match.js", "JavaScript", 142, 0, 0, 0, 2, 17, 161
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\profile.css", "CSS", 0, 33, 0, 0, 5, 1, 39
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\profile.js", "JavaScript", 103, 0, 0, 0, 1, 12, 116
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\schedule.css", "CSS", 0, 20, 0, 0, 0, 3, 23
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\schedule.js", "JavaScript", 135, 0, 0, 0, 11, 17, 163
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\standings.css", "CSS", 0, 79, 0, 0, 38, 14, 131
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\standings.js", "JavaScript", 103, 0, 0, 0, 1, 10, 114
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\standingsDraft.js", "JavaScript", 51, 0, 0, 0, 0, 5, 56
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\statistics.css", "CSS", 0, 25, 0, 0, 0, 4, 29
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\statistics.js", "JavaScript", 126, 0, 0, 0, 0, 14, 140
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\statisticsCustom.css", "CSS", 0, 24, 0, 0, 7, 5, 36
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\teams.css", "CSS", 0, 17, 0, 0, 0, 2, 19
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\pageStyles\teams.js", "JavaScript", 102, 0, 0, 0, 1, 12, 115
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\aboutus.jsx", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\allStatistics.jsx", "JavaScript", 464, 0, 0, 0, 4, 22, 490
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\game.jsx", "JavaScript", 11, 0, 0, 0, 0, 4, 15
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\homepage.jsx", "JavaScript", 171, 0, 0, 0, 0, 6, 177
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\live.jsx", "JavaScript", 30, 0, 0, 0, 23, 6, 59
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\match.jsx", "JavaScript", 110, 0, 0, 0, 3, 10, 123
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\profile.jsx", "JavaScript", 181, 0, 0, 0, 22, 19, 222
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\profileTry.jsx", "JavaScript", 235, 0, 0, 0, 19, 22, 276
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\schedule.jsx", "JavaScript", 147, 0, 0, 0, 5, 9, 161
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\standings.jsx", "JavaScript", 126, 0, 0, 0, 2, 7, 135
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\standingsDraft.jsx", "JavaScript", 24, 0, 0, 0, 14, 6, 44
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\statistics copy Old.jsx", "JavaScript", 427, 0, 0, 0, 4, 21, 452
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\statistics.jsx", "JavaScript", 432, 0, 0, 0, 4, 22, 458
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\page\teams.jsx", "JavaScript", 219, 0, 0, 0, 0, 5, 224
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"c:\Users\Adaxiom\Desktop\New folder testing\sdc-front\src\themes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 8
"Total", "-", 5144, 714, 152, 1, 411, 574, 6996
